name,address,province,city,area,telephone,"lat,lng",tag
聚香园,埔田镇庵后村万竹园附近竹笋市场内,广东省,揭阳市,揭东区,15975108870,"[23.613797, 116.418582]",美食;中餐厅
芦园渔港,神泉芦园村南海渔村对面,广东省,揭阳市,惠来县,,"[22.942753, 116.362929]",美食;中餐厅
点点私厨,广东省揭阳市榕城区北环城路中山办事处隔壁(即计划生育服务站榕城中山所隔壁),广东省,揭阳市,榕城区,"1,772,826,255,718,310,000,000","[23.543268, 116.36394]",美食;中餐厅
北国饭店(榕景园店),榕城区榕景园北门(近建阳路),广东省,揭阳市,榕城区,(0663)8271666,"[23.568921, 116.374263]",美食;中餐厅
Annie和她的小伙伴(餐吧),广东省揭阳市榕城区东升街道晓翠路揭阳工会大厦东南50米,广东省,揭阳市,榕城区,"1,980,663,777,818,800,000,000","[23.565319, 116.377912]",美食;蛋糕甜品店
南兴食城,揭阳市普宁市环城南路1号,广东省,揭阳市,普宁市,(0663)2166155,"[23.294202, 116.180326]",美食;中餐厅
明思味餐厅(东山店),榕城区义河村义兴楼16-18号,广东省,揭阳市,榕城区,(0663)8292822,"[23.558186, 116.368538]",美食;中餐厅
北国饭店(榕城店),广东省揭阳市榕城区新兴东郊村泗水围85号,广东省,揭阳市,榕城区,"(0663)8507111,(0663)8507222","[23.533492, 116.371421]",美食;中餐厅
隆江猪脚兴饭店,广东省揭阳市惠来县隆江镇猪脚兴饭店,广东省,揭阳市,惠来县,,"[22.988581, 116.186792]",美食;中餐厅
香满楼,揭阳市榕城区埔上村后座,广东省,揭阳市,榕城区,18666320128,"[23.56303, 116.375213]",美食;中餐厅
榕江美食府,揭阳市榕城区金碧尚都15号铺,广东省,揭阳市,榕城区,(0663)8213698,"[23.562137, 116.37614]",美食;中餐厅
真功夫(普宁广达店),广达北路美佳乐广场一楼商铺,广东省,揭阳市,普宁市,(0663)2288021,"[23.306367, 116.153874]",美食;小吃快餐店
潮状元美食城,广东省揭阳市揭东区S236(环市北路),广东省,揭阳市,揭东区,4001849888,"[23.564173, 116.3268]",美食;中餐厅
肯德基(易初莲花店),黄岐山大道易初莲花购物中心1-2层,广东省,揭阳市,榕城区,(0663)8227870,"[23.569497, 116.37678]",美食;小吃快餐店
探鱼(揭阳金城店),建阳路宝乐迪KTV一层,广东省,揭阳市,榕城区,(0663)8265668,"[23.568179, 116.378216]",美食;中餐厅
烤鱼先生碳烤鱼,广东省揭阳市榕城区卢前C一幢17号附近,广东省,揭阳市,榕城区,13534508755,"[23.566043, 116.370099]",美食;中餐厅
阿牛美食府,广东省揭阳市榕城区新阳东路北侧原新河村沟处商务楼D幢3层,广东省,揭阳市,榕城区,(0663)8226655,"[23.562658, 116.384677]",美食;中餐厅
顺记牛肉,广东省揭阳市榕城区建阳路与仁义路交界处,广东省,揭阳市,榕城区,(0663)8858758,"[23.567668, 116.369999]",美食;小吃快餐店
仁和四季(椰子鸡音乐主题餐厅),黄岐山大道大海通唱正对面(原大海园林),广东省,揭阳市,榕城区,(0663)8699383,"[23.561837, 116.378291]",美食;中餐厅
玉山餐厅,广东省揭阳市普宁市X107路东,广东省,揭阳市,普宁市,(0663)2524157,"[23.526514, 116.22106]",美食;中餐厅
鲁智笙(揭阳店),建阳路金城步行街5号,广东省,揭阳市,榕城区,(0663)8781789,"[23.568211, 116.377922]",美食;中餐厅
肯德基(揭阳临江北餐厅),临江北路49号,广东省,揭阳市,榕城区,,"[23.556169, 116.372862]",美食;小吃快餐店
法兰度航空主题餐厅(万泰汇店),广达北路万泰汇购物中心四楼D019-D022号,广东省,揭阳市,普宁市,(0663)2882868,"[23.319567, 116.168158]",美食;中餐厅
天安饭店,普宁市广达北路与长春路交叉处,广东省,揭阳市,普宁市,(0663)2247389,"[23.308771, 116.154737]",美食;中餐厅
阪尚皇自助餐厅(揭阳店),广东省揭阳市榕城区建阳路金城步行街体育乐园3-5号,广东省,揭阳市,榕城区,(0663)8494968,"[23.569136, 116.378179]",美食;中餐厅
新坛海鲜肠粉,广东省揭阳市普宁市长青路新坛村新祠堂56幢3号,广东省,揭阳市,普宁市,15889111599,"[23.297522, 116.196058]",美食;小吃快餐店
肯德基(葵和大道餐厅),广东省揭阳市惠来县南门东路1号,广东省,揭阳市,惠来县,,"[23.034773, 116.302191]",美食;小吃快餐店
潮膳砂锅粥,广东省揭阳市榕城区沿江路奥马眼镜路口处直入50米,广东省,揭阳市,榕城区,13925666755,"[23.556528, 116.374574]",美食;中餐厅
曲毛正宗澄海鹅肉饭(兰花分店),广东省揭阳市普宁市池尾街道体育西路桂荣茗园东,广东省,揭阳市,普宁市,(0663)2930876,"[23.309632, 116.162965]",美食;小吃快餐店
不老基(天福东路店),天福东路雅逸花园6-7号(女人街旁),广东省,揭阳市,榕城区,(0663)8653918,"[23.545883, 116.371058]",美食;小吃快餐店
