,date_time,ball,water_level
0,2-24 05:07,半球/一球,0.95
1,2-24 05:15,半球/一球,0.95
2,2-24 05:30,半球/一球,0.95
3,2-24 05:45,半球/一球,0.95
4,2-24 06:00,半球/一球,0.95
5,2-24 06:15,半球/一球,0.95
6,2-24 06:30,半球/一球,0.95
7,2-24 06:45,半球/一球,0.95
8,2-24 07:00,半球/一球,0.95
9,2-24 07:15,半球/一球,0.95
10,2-24 07:30,半球/一球,0.95
11,2-24 07:45,半球/一球,0.95
12,2-24 08:00,半球/一球,0.95
13,2-24 08:15,半球/一球,0.95
14,2-24 08:30,半球/一球,0.95
15,2-24 08:45,半球/一球,0.95
16,2-24 09:00,半球/一球,0.95
17,2-24 09:15,半球/一球,0.95
18,2-24 09:30,半球/一球,0.95
19,2-24 09:45,半球/一球,0.95
20,2-24 10:00,半球/一球,0.95
21,2-24 10:15,半球/一球,0.95
22,2-24 10:30,半球/一球,0.95
23,2-24 10:45,半球/一球,0.95
24,2-24 11:00,半球/一球,0.95
25,2-24 11:15,半球/一球,0.95
26,2-24 11:30,半球/一球,0.95
27,2-24 11:45,半球/一球,0.95
28,2-24 12:00,半球/一球,0.95
29,2-24 12:15,半球/一球,0.95
30,2-24 12:30,半球/一球,0.95
31,2-24 12:45,半球/一球,0.95
32,2-24 13:00,半球/一球,0.95
33,2-24 13:15,半球/一球,0.95
34,2-24 13:30,半球/一球,0.95
35,2-24 13:45,半球/一球,0.95
36,2-24 14:00,半球/一球,0.95
37,2-24 14:15,半球/一球,0.95
38,2-24 14:30,半球/一球,0.95
39,2-24 14:45,半球/一球,0.95
40,2-24 15:00,半球/一球,0.95
41,2-24 15:15,半球/一球,0.95
42,2-24 15:30,半球/一球,0.95
43,2-24 15:45,半球/一球,0.95
44,2-24 16:00,半球/一球,0.95
45,2-24 16:15,半球/一球,0.95
46,2-24 16:30,半球/一球,0.95
47,2-24 16:45,半球/一球,0.95
48,2-24 17:00,半球/一球,0.95
49,2-24 17:15,半球/一球,0.95
50,2-24 17:30,半球/一球,0.95
51,2-24 17:45,半球/一球,0.95
52,2-24 18:00,半球/一球,0.95
53,2-24 18:15,半球/一球,0.95
54,2-24 18:30,半球/一球,0.95
55,2-24 18:45,半球/一球,0.95
56,2-24 19:00,半球/一球,0.95
57,2-24 19:15,半球/一球,0.95
58,2-24 19:30,半球/一球,0.95
59,2-24 19:45,半球/一球,0.95
60,2-24 20:00,半球/一球,0.95
61,2-24 20:10,半球/一球,0.96
62,2-24 20:15,半球/一球,0.96
63,2-24 20:30,半球/一球,0.96
64,2-24 20:45,半球/一球,0.96
65,2-24 21:00,半球/一球,0.96
66,2-24 21:15,半球/一球,0.96
67,2-24 21:30,半球/一球,0.96
68,2-24 21:45,半球/一球,0.96
69,2-24 22:00,半球/一球,0.96
70,2-24 22:15,半球/一球,0.96
71,2-24 22:30,半球/一球,0.96
72,2-24 22:45,半球/一球,0.96
73,2-24 23:00,半球/一球,0.96
74,2-24 23:15,半球/一球,0.96
75,2-24 23:30,半球/一球,0.96
76,2-24 23:45,半球/一球,0.96
77,2-25 00:00,半球/一球,0.96
78,2-25 00:15,半球/一球,0.96
79,2-25 00:30,半球/一球,0.96
80,2-25 00:45,半球/一球,0.96
81,2-25 01:00,半球/一球,0.96
82,2-25 01:15,半球/一球,0.96
83,2-25 01:30,半球/一球,0.96
84,2-25 01:45,半球/一球,0.96
85,2-25 02:00,半球/一球,0.96
86,2-25 02:15,半球/一球,0.96
87,2-25 02:30,半球/一球,0.96
88,2-25 02:45,半球/一球,0.96
89,2-25 03:00,半球/一球,0.96
90,2-25 03:15,半球/一球,0.96
91,2-25 03:30,半球/一球,0.96
92,2-25 03:45,半球/一球,0.96
93,2-25 04:00,半球/一球,0.96
94,2-25 04:15,半球/一球,0.96
95,2-25 04:30,半球/一球,0.96
96,2-25 04:45,半球/一球,0.96
97,2-25 05:00,半球/一球,0.96
98,2-25 05:15,半球/一球,0.96
99,2-25 05:30,半球/一球,0.96
100,2-25 05:45,半球/一球,0.96
101,2-25 06:00,半球/一球,0.96
102,2-25 06:15,半球/一球,0.96
103,2-25 06:30,半球/一球,0.96
104,2-25 06:45,半球/一球,0.96
105,2-25 07:00,半球/一球,0.96
106,2-25 07:15,半球/一球,0.96
107,2-25 07:30,半球/一球,0.96
108,2-25 07:45,半球/一球,0.96
109,2-25 08:00,半球/一球,0.96
110,2-25 08:15,半球/一球,0.96
111,2-25 08:30,半球/一球,0.96
112,2-25 08:45,半球/一球,0.96
113,2-25 09:00,半球/一球,0.96
114,2-25 09:15,半球/一球,0.96
115,2-25 09:30,半球/一球,0.96
116,2-25 09:45,半球/一球,0.96
117,2-25 10:00,半球/一球,0.96
118,2-25 10:15,半球/一球,0.96
119,2-25 10:30,半球/一球,0.96
120,2-25 10:45,半球/一球,0.96
121,2-25 11:00,半球/一球,0.96
122,2-25 11:15,半球/一球,0.96
123,2-25 11:30,半球/一球,0.96
124,2-25 11:45,半球/一球,0.96
125,2-25 12:00,半球/一球,0.96
126,2-25 12:15,半球/一球,0.96
127,2-25 12:30,半球/一球,0.96
128,2-25 12:45,半球/一球,0.96
129,2-25 13:00,半球/一球,0.96
130,2-25 13:15,半球/一球,0.96
131,2-25 13:30,半球/一球,0.96
132,2-25 13:45,半球/一球,0.96
133,2-25 14:00,半球/一球,0.96
134,2-25 14:15,半球/一球,0.96
135,2-25 14:30,半球/一球,0.96
136,2-25 14:45,半球/一球,0.96
137,2-25 15:00,半球/一球,0.96
138,2-25 15:15,半球/一球,0.96
139,2-25 15:30,半球/一球,0.96
140,2-25 15:45,半球/一球,0.96
141,2-25 16:00,半球/一球,0.96
142,2-25 16:15,半球/一球,0.96
143,2-25 16:30,半球/一球,0.96
144,2-25 16:45,半球/一球,0.96
145,2-25 17:00,半球/一球,0.96
146,2-25 17:15,半球/一球,0.96
147,2-25 17:30,半球/一球,0.96
148,2-25 17:45,半球/一球,0.96
149,2-25 18:00,半球/一球,0.96
150,2-25 18:15,半球/一球,0.96
151,2-25 18:30,半球/一球,0.96
