,change_time,change_let_ball,change_let_ball_n,change_water_level
0,2-24 05:07,半球/一球,0.75,0.95
1,2-24 20:10,半球/一球,0.75,0.96
2,2-28 09:18,半球/一球,0.75,0.97
3,3-1 00:56,半球/一球,0.75,0.98
4,3-1 02:38,半球/一球,0.75,0.99
5,3-1 03:02,半球/一球,0.75,0.95
6,3-1 09:56,半球/一球,0.75,0.94
7,3-1 16:18,半球/一球,0.75,0.95
8,3-2 00:15,半球/一球,0.75,0.94
9,3-2 00:42,半球/一球,0.75,0.95
10,3-2 02:06,半球/一球,0.75,0.96
11,3-2 05:30,半球/一球,0.75,0.95
12,3-2 06:01,半球/一球,0.75,0.94
13,3-2 19:13,半球/一球,0.75,0.96
14,3-2 19:26,半球/一球,0.75,0.98
15,3-2 19:41,半球/一球,0.75,0.97
16,3-2 20:25,半球/一球,0.75,0.98
17,3-3 02:20,半球/一球,0.75,0.99
18,3-3 03:53,半球/一球,0.75,0.97
19,3-3 05:03,半球/一球,0.75,0.98
20,3-3 07:17,半球/一球,0.75,0.97
21,3-3 15:25,半球/一球,0.75,0.98
22,3-3 20:11,半球/一球,0.75,1.01
23,3-3 21:43,半球/一球,0.75,1.03
24,3-3 21:59,半球/一球,0.75,1.02
25,3-4 05:05,半球/一球,0.75,1.04
26,3-4 06:26,半球/一球,0.75,1.05
27,3-4 06:37,半球/一球,0.75,1.07
28,3-4 07:42,半球/一球,0.75,1.08
29,3-4 14:44,半球/一球,0.75,1.07
30,3-4 16:41,半球/一球,0.75,1.08
31,3-4 18:37,半球/一球,0.75,1.09
32,3-4 19:24,半球,0.5,0.87
33,3-4 21:03,半球,0.5,0.88
34,3-5 01:10,半球,0.5,0.83
35,3-5 01:46,半球,0.5,0.84
36,3-5 18:15,半球,0.5,0.85
37,3-5 19:09,半球,0.5,0.84
38,3-5 20:24,半球,0.5,0.85
39,3-5 22:47,半球,0.5,0.84
40,3-6 00:41,半球,0.5,0.85
41,3-6 00:58,半球/一球,0.75,1.08
42,3-6 01:26,半球/一球,0.75,1.07
43,3-6 17:03,半球,0.5,0.85
44,3-6 18:51,半球,0.5,0.86
45,3-6 21:01,半球,0.5,0.87
46,3-6 22:49,半球,0.5,0.88
47,3-6 23:10,半球,0.5,0.89
48,3-7 00:15,半球,0.5,0.87
49,3-7 05:47,半球,0.5,0.88
50,3-7 16:35,半球,0.5,0.89
51,3-7 17:21,半球,0.5,0.88
52,3-7 18:08,半球,0.5,0.91
53,3-7 18:53,半球,0.5,0.92
54,3-7 20:45,半球,0.5,0.90
55,3-7 21:46,半球,0.5,0.92
56,3-8 02:21,半球,0.5,0.93
57,3-8 04:19,半球,0.5,0.92
58,3-8 05:42,半球,0.5,0.91
59,3-8 05:57,半球,0.5,0.90
60,3-8 06:11,半球,0.5,0.91
61,3-8 08:08,半球,0.5,0.92
62,3-8 08:21,半球,0.5,0.93
63,3-8 10:10,半球,0.5,0.95
64,3-8 10:12,半球,0.5,0.94
65,3-8 10:13,半球,0.5,0.95
66,3-8 10:19,半球,0.5,0.96
67,3-8 10:21,半球,0.5,0.97
68,3-8 10:35,半球,0.5,0.96
69,3-8 12:10,半球,0.5,0.95
70,3-8 12:14,半球,0.5,0.94
71,3-8 12:31,半球,0.5,0.95
72,3-8 12:35,半球,0.5,0.94
73,3-8 13:30,半球,0.5,0.95
74,3-8 13:38,半球,0.5,0.94
75,3-8 13:58,半球,0.5,0.95
76,3-8 16:17,半球,0.5,0.96
77,3-8 16:38,半球,0.5,0.97
78,3-8 16:43,半球,0.5,0.96
79,3-8 16:55,半球,0.5,0.97
80,3-8 17:14,半球,0.5,0.99
81,3-8 17:18,半球,0.5,0.98
82,3-8 17:20,半球,0.5,0.99
83,3-8 18:04,半球,0.5,1.00
84,3-8 18:54,半球,0.5,1.01
85,3-8 19:23,半球,0.5,1.02
86,3-8 19:25,半球,0.5,1.01
87,3-8 19:34,半球,0.5,0.99
88,3-8 19:43,半球,0.5,1.00
89,3-8 20:04,半球,0.5,0.99
90,3-8 20:09,半球,0.5,1.00
91,3-8 20:15,半球,0.5,1.01
92,3-8 20:17,半球,0.5,1.02
93,3-8 20:49,半球,0.5,1.03
94,3-8 20:51,半球,0.5,1.02
95,3-8 20:53,半球,0.5,0.99
96,3-8 20:55,半球,0.5,0.98
97,3-8 20:58,半球,0.5,0.96
98,3-8 21:02,半球,0.5,0.98
99,3-8 21:03,半球,0.5,1.01
100,3-8 21:07,半球,0.5,0.99
101,3-8 21:09,半球,0.5,0.92
102,3-8 21:11,半球,0.5,0.87
103,3-8 21:15,半球,0.5,0.89
104,3-8 21:22,半球,0.5,0.88
105,3-8 21:24,半球,0.5,0.89
106,3-8 21:26,半球,0.5,0.88
107,3-8 21:30,半球,0.5,0.86
