all_repo_names,all_tool_names
KP2D,"
"
CN-DPM,"ipdb
,jupyterlab
,matplotlib
,numpy
,pyyaml
,tensorboard==1.13.1
,tensorboardx==1.6
,tensorflow==1.15.2
,pytorch==1.0.1
,torchvision==0.2.2
,tqdm
"
GLAD,"matplotlib==3.2.1
,networkx==2.4
,pandas==1.0.3
,numpy==1.18.3
,torch==1.5.0+cu101
,scipy==1.4.1
,scikit_learn==0.22.2.post1
"
bert_score,"# pytorch
,torch>=1.0.0
,# progress bars in model download and training scripts
,tqdm>=4.31.1
,# bert
,transformers>=2.0.0
,matplotlib
,pandas>=1.0.1
,numpy
"
delay_stability,"scipy==1.4.1
,matplotlib==3.2.1
,torchvision==0.6.0+cu101
,six==1.12.0
,torch==1.5.0+cu101
,bokeh==1.4.0
,pandas==1.0.3
,numpy==1.18.3
,hyperdash==0.15.3
,ipdb==0.13.2
"
word2ket,"torch==1.5.0+cu101
,gpytorch==1.1.1
,rouge==1.0.0
"
UniversalCertificationTheory,"numpy==1.18.3
"
smile-mi-estimator,"numpy==1.18.3
,torch==1.5.0+cu101
"
mamus,"cython==0.27.3
,numpy==1.17.4
,scipy==1.3.3
,spams==2.6.1
"
impact-driven-exploration,"certifi==2019.11.28
,cffi==1.13.2
,cloudpickle==1.2.2
,future==0.18.2
,gitdb2==2.0.6
,gitpython==3.0.5
,gym==0.15.4
,gym-super-mario-bros==7.3.0
,mkl-fft==1.0.15
,mkl-random==1.1.0
,mkl-service==2.3.0
,nes-py==8.1.1
,numpy==1.17.4
,olefile==0.46
,opencv-python==4.1.2.30
,pillow==6.2.1
,pycparser==2.19
,pyglet==1.3.2
,pyqt5==5.13.2
,pyqt5-sip==12.7.0
,scipy==1.3.3
,six==1.13.0
,smmap2==2.0.5
,torch==1.1.0
,torchvision==0.3.0
,tqdm==4.40.2
,vizdoom==1.1.7
"
InfoGraph,"seaborn==0.10.1
,tqdm==4.38.0
,numpy==1.18.3
,torch==1.5.0+cu101
,matplotlib==3.2.1
,pandas==1.0.3
,scikit_learn==0.22.2.post1
,torch_geometric==1.4.3
"
IGMC,"h5py==2.10.0
,torch==1.5.0+cu101
,pandas==1.0.3
,matplotlib==3.2.1
,networkx==2.4
,scipy==1.4.1
,tqdm==4.38.0
,numpy==1.18.3
,scikit_learn==0.22.2.post1
,torch_geometric==1.4.3
"
stable-nalu,"numpy==1.18.3
,torchvision==0.6.0+cu101
,pandas==1.0.3
,tqdm==4.38.0
,torch==1.5.0+cu101
,tensorflow==2.2.0rc3
,scipy==1.4.1
,nose==1.3.7
,tensorboardx==2.0
"
KG-A2C,"requests==2.23.0
,torch==1.5.0+cu101
,spacy==2.2.4
,networkx==2.4
,pandas==1.0.3
,numpy==1.18.3
,tensorflow==2.2.0rc3
,fuzzywuzzy==0.18.0
,jericho==3.0.2
,redis==3.5.0
,sentencepiece==0.1.86
"
hilloc,"scipy==1.4.1
,opencv_python==4.1.2.30
,tensorflow==2.2.0rc3
,tqdm==4.38.0
,numpy==1.18.3
,matplotlib==3.2.1
,autograd==1.3
,fuel==0.2.0
,observations==0.1.4
"
Multi-View-Information-Bottleneck,"numpy==1.18.3
,tqdm==4.38.0
,torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,pillow==7.1.2
,pyyaml==5.3.1
,scikit_learn==0.22.2.post1
"
Incremental-Learning,"keras==2.3.1
,numpy==1.18.3
,tensorflow==2.2.0rc3
,matplotlib==3.2.1
,scikit_learn==0.22.2.post1
"
GraphSAINT,"tensorflow==2.2.0rc3
,scipy==1.4.1
,torch==1.5.0+cu101
,numpy==1.18.3
,networkx==2.4
,cython==0.29.17
,pyyaml==5.3.1
,scikit_learn==0.22.2.post1
"
mbu-content-tansfer,"torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,pillow==7.1.2
"
complex-order,"pandas==1.0.3
,keras==2.3.1
,spacy==2.2.4
,torchtext==0.3.1
,gensim==3.6.0
,numpy==1.18.3
,scipy==1.4.1
,matplotlib==3.2.1
,torch==1.5.0+cu101
,nltk==3.2.5
,chardet==3.0.4
,tensorflow==2.2.0rc3
,tqdm==4.38.0
,apex==0.9.10dev
,asposestorage==1.0.2
,scikit_learn==0.22.2.post1
,tensorly==0.4.5
"
augmix,"numpy>=1.15.0
,pillow>=6.1.0
,torch==1.2.0
,torchvision==0.2.2
"
sparse_deconvolution,"
"
MABN,"opencv_python==4.1.2.30
,h5py==2.10.0
,pycocotools==2.0.0
,tqdm==4.38.0
,matplotlib==3.2.1
,torch==1.5.0+cu101
,numpy==1.18.3
,torchvision==0.6.0+cu101
,scipy==1.4.1
,apex==0.9.10dev
,cityscapesscripts==1.4.0
,ipython==7.14.0
,pillow==7.1.2
,yacs==0.1.7
"
nonnormal-init,"keras==2.3.1
,torch==1.5.0+cu101
,numpy==1.18.3
,scipy==1.4.1
"
DeepSpeechDistances,"numpy==1.18.3
,scipy==1.4.1
,tqdm==4.38.0
,resampy==0.2.2
,tensorflow==2.2.0rc3
,python_speech_features==0.6
,tensorflow_gan==2.0.0
"
Target-Agnostic-Attack,"keras_applications==1.0.8
,tensorflow==2.2.0rc3
,keras==2.3.1
,numpy==1.18.3
"
iclr_paper_mdfa,"tqdm==4.38.0
,seaborn==0.10.1
,matplotlib==3.2.1
,tensorflow==2.2.0rc3
,opencv_python==4.1.2.30
,numpy==1.18.3
,scikit_learn==0.22.2.post1
"
ICLR2020-PADGN,"geopy==1.17.0
,torch==1.5.0+cu101
,pandas==1.0.3
,scipy==1.4.1
,matplotlib==3.2.1
,tqdm==4.38.0
,networkx==2.4
,numpy==1.18.3
,dgl==0.4.3.post2
,geopandas==0.7.0
,pymap3d==2.4.0
,pyyaml==5.3.1
,scikit_learn==0.22.2.post1
,tensorboardx==2.0
,torch_geometric==1.4.3
,torch_scatter==2.0.4
,torch_sparse==0.6.1
,utm==0.5.0
"
selection-via-proxy,"tqdm==4.38.0
,torchvision==0.6.0+cu101
,click==7.1.2
,scipy==1.4.1
,torch==1.5.0+cu101
,typing_extensions==3.6.6
,pandas==1.0.3
,numpy==1.18.3
,apex==0.9.10dev
"
kWTA-Activation,"tqdm==4.38.0
,torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,matplotlib==3.2.1
,numpy==1.18.3
,foolbox==3.0.0
"
VHE-GAN,"numpy==1.18.3
,pandas==1.0.3
,six==1.12.0
,torch==1.5.0+cu101
,scipy==1.4.1
,torchvision==0.6.0+cu101
,easydict==1.9
,pillow==7.1.2
,python_dateutil==2.8.1
,pyyaml==5.3.1
,tensorboardx==2.0
"
IDA,"torch==1.5.0+cu101
,matplotlib==3.2.1
,numpy==1.18.3
,pandas==1.0.3
,tqdm==4.38.0
"
UCB,"torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,numpy==1.18.3
,pillow==7.1.2
,scikit_learn==0.22.2.post1
"
deep-skill-chaining,"numpy==1.18.3
,tensorflow==2.2.0rc3
,imageio==2.4.1
,seaborn==0.10.1
,gin_config==0.3.0
,torch==1.5.0+cu101
,scipy==1.4.1
,matplotlib==3.2.1
,dm_control==0.0.300771433
,gin==0.1.006
,mujoco_py==2.0.2.9
,pillow==7.1.2
,pygame==1.9.6
,scikit_learn==0.22.2.post1
,simple_rl==0.811
,tensorboardx==2.0
,tf_agents==0.4.0
"
VL-BERT,"easydict
,jsonlines
,matplotlib
,networkx
,numpy
,opencv-python
,pandas
,pillow
,protobuf==3.10.0
,pycocotools
,pyyaml
,regex==2019.8.19
,requests==2.22.0
,scikit-image
,scipy
,tensorboard
,tensorboardx
,tensorflow
,tqdm
,urllib3
,boto3
"
meta-learning-curiosity-algorithms," tensorboardx
, sklearn
, numpy
, matplotlib
, torch-ac
, gym
, gym-minigrid
, colored_traceback
, graphviz
, gym[atari]
, box2d-py
, opencv-python
, torchvision
, pybullet
, tqdm
, tensorflow-gpu
, kdtree"
mmr-universal,"pandas==1.0.3
,torch==1.5.0+cu101
,tensorflow==2.2.0rc3
,scipy==1.4.1
,torchvision==0.6.0+cu101
,numpy==1.18.3
,cleverhans==3.0.1
,robustml==0.0.3
"
Data-Independent-Neural-Pruning-via-Coresets,"torch==1.5.0+cu101
,numpy==1.18.3
"
LAMOL,"gputil==1.4.0
,pytorch-transformers==1.2.0
,torch>=1.2.0
"
CS-GNN,"torch==1.0.1
,torchvision==0.2.2
,numpy==1.16.2
,scikit-learn==0.20.3
,tqdm==4.32.2
,networkx==2.2
,pygsp==0.5.1
,pandas==0.24.2"
fedavgpy,"scipy==1.4.1
,torchvision==0.6.0+cu101
,matplotlib==3.2.1
,numpy==1.18.3
,torch==1.5.0+cu101
,ipython==7.14.0
,mat4py==0.4.3
,pillow==7.1.2
,tensorboardx==2.0
"
eval-nas,"tensorboardx
,scipy
,ipython
,networkx
"
